season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2009,Bochum,1,129,VfL Bochum,87,Borussia Mönchengladbach,3,3,1.0,0.0,0.0,draw
2009,Freiburg,1,112,SC Freiburg,100,Hamburger SV,1,1,1.0,0.0,0.0,draw
2009,München,2,40,FC Bayern München,134,Werder Bremen,1,1,1.0,0.0,0.0,draw
2009,Stuttgart,2,16,VfB Stuttgart,112,SC Freiburg,4,2,0.0,1.0,0.0,win_home
2009,Hamburg,2,100,Hamburger SV,7,Borussia Dortmund,4,1,0.0,1.0,0.0,win_home
2009,Leverkusen,2,6,Bayer Leverkusen,175,TSG 1899 Hoffenheim,1,0,0.0,1.0,0.0,win_home
2009,Hannover,2,55,Hannover 96,81,1. FSV Mainz 05,1,1,1.0,0.0,0.0,draw
2009,Frankfurt,2,91,Eintracht Frankfurt,79,1. FC Nürnberg,1,1,1.0,0.0,0.0,draw
2009,Köln,2,65,1. FC Köln,131,VfL Wolfsburg,1,3,0.0,0.0,1.0,win_away
2009,Gladbach,2,87,Borussia Mönchengladbach,54,Hertha BSC,2,1,0.0,1.0,0.0,win_home
2009,Gelsenkirchen,2,9,FC Schalke 04,129,VfL Bochum,3,0,0.0,1.0,0.0,win_home
2009,Sinsheim,3,175,TSG 1899 Hoffenheim,9,FC Schalke 04,0,0,1.0,0.0,0.0,draw
2009,Dortmund,3,7,Borussia Dortmund,16,VfB Stuttgart,1,1,1.0,0.0,0.0,draw
2009,Köln,3,65,1. FC Köln,91,Eintracht Frankfurt,0,0,1.0,0.0,0.0,draw
2009,Freiburg,3,112,SC Freiburg,6,Bayer Leverkusen,0,5,0.0,0.0,1.0,win_away
2009,Mainz,3,81,1. FSV Mainz 05,40,FC Bayern München,2,1,0.0,1.0,0.0,win_home
2009,Nürnberg,3,79,1. FC Nürnberg,55,Hannover 96,0,2,0.0,0.0,1.0,win_away
2009,Bochum,3,129,VfL Bochum,54,Hertha BSC,1,0,0.0,1.0,0.0,win_home
2009,Wolfsburg,3,131,VfL Wolfsburg,100,Hamburger SV,2,4,0.0,0.0,1.0,win_away
2009,Bremen,3,134,Werder Bremen,87,Borussia Mönchengladbach,3,0,0.0,1.0,0.0,win_home
2009,Gladbach,4,87,Borussia Mönchengladbach,81,1. FSV Mainz 05,2,0,0.0,1.0,0.0,win_home
2009,Stuttgart,4,16,VfB Stuttgart,79,1. FC Nürnberg,0,0,1.0,0.0,0.0,draw
2009,Gelsenkirchen,4,9,FC Schalke 04,112,SC Freiburg,0,1,0.0,0.0,1.0,win_away
2009,Leverkusen,4,6,Bayer Leverkusen,129,VfL Bochum,2,1,0.0,1.0,0.0,win_home
2009,Hannover,4,55,Hannover 96,175,TSG 1899 Hoffenheim,0,1,0.0,0.0,1.0,win_away
2009,Frankfurt,4,91,Eintracht Frankfurt,7,Borussia Dortmund,1,1,1.0,0.0,0.0,draw
2009,München,4,40,FC Bayern München,131,VfL Wolfsburg,3,0,0.0,1.0,0.0,win_home
2009,Berlin,4,54,Hertha BSC,134,Werder Bremen,2,3,0.0,0.0,1.0,win_away
2009,Hamburg,4,100,Hamburger SV,65,1. FC Köln,3,1,0.0,1.0,0.0,win_home
2009,Wolfsburg,5,131,VfL Wolfsburg,6,Bayer Leverkusen,2,3,0.0,0.0,1.0,win_away
2009,Dortmund,5,7,Borussia Dortmund,40,FC Bayern München,1,5,0.0,0.0,1.0,win_away
2009,Sinsheim,5,175,TSG 1899 Hoffenheim,129,VfL Bochum,3,0,0.0,1.0,0.0,win_home
2009,Freiburg,5,112,SC Freiburg,91,Eintracht Frankfurt,0,2,0.0,0.0,1.0,win_away
2009,Mainz,5,81,1. FSV Mainz 05,54,Hertha BSC,2,1,0.0,1.0,0.0,win_home
2009,Nürnberg,5,79,1. FC Nürnberg,87,Borussia Mönchengladbach,1,0,0.0,1.0,0.0,win_home
2009,Hamburg,5,100,Hamburger SV,16,VfB Stuttgart,3,1,0.0,1.0,0.0,win_home
2009,Bremen,5,134,Werder Bremen,55,Hannover 96,0,0,1.0,0.0,0.0,draw
2009,Köln,5,65,1. FC Köln,9,FC Schalke 04,1,2,0.0,0.0,1.0,win_away
2009,Gelsenkirchen,6,9,FC Schalke 04,131,VfL Wolfsburg,1,2,0.0,0.0,1.0,win_away
2009,München,6,40,FC Bayern München,79,1. FC Nürnberg,2,1,0.0,1.0,0.0,win_home
2009,Stuttgart,6,16,VfB Stuttgart,65,1. FC Köln,0,2,0.0,0.0,1.0,win_away
2009,Hannover,6,55,Hannover 96,7,Borussia Dortmund,1,1,1.0,0.0,0.0,draw
2009,Bochum,6,129,VfL Bochum,81,1. FSV Mainz 05,2,3,0.0,0.0,1.0,win_away
2009,Gladbach,6,87,Borussia Mönchengladbach,175,TSG 1899 Hoffenheim,2,4,0.0,0.0,1.0,win_away
2009,Frankfurt,6,91,Eintracht Frankfurt,100,Hamburger SV,1,1,1.0,0.0,0.0,draw
2009,Berlin,6,54,Hertha BSC,112,SC Freiburg,0,4,0.0,0.0,1.0,win_away
2009,Leverkusen,6,6,Bayer Leverkusen,134,Werder Bremen,0,0,1.0,0.0,0.0,draw
2009,Nürnberg,7,79,1. FC Nürnberg,129,VfL Bochum,0,1,0.0,0.0,1.0,win_away
2009,Wolfsburg,7,131,VfL Wolfsburg,55,Hannover 96,4,2,0.0,1.0,0.0,win_home
2009,Dortmund,7,7,Borussia Dortmund,9,FC Schalke 04,0,1,0.0,0.0,1.0,win_away
2009,Bremen,7,134,Werder Bremen,81,1. FSV Mainz 05,3,0,0.0,1.0,0.0,win_home
2009,Köln,7,65,1. FC Köln,6,Bayer Leverkusen,0,1,0.0,0.0,1.0,win_away
