season_x,location,matchday_nr_x,home_team_id,home_team_name_x,away_team_id,away_team_name_x,goals_home,goals_away,outcome,total_goals,identifier,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif
2008,Dortmund,7,7,Borussia Dortmund,55,Hannover 96,1,1,draw,2,2008_Borussia Dortmund_Hannover 96,16.0,11.0,9.0,21.0
2008,Dortmund,7,7,Borussia Dortmund,55,Hannover 96,1,1,draw,2,2008_Borussia Dortmund_Hannover 96,16.0,11.0,7.0,24.0
2008,Cottbus,7,93,FC Energie Cottbus,100,Hamburger SV,1,2,win_away,3,2008_FC Energie Cottbus_Hamburger SV,3.0,5.0,2.0,1.0
2008,Cottbus,7,93,FC Energie Cottbus,100,Hamburger SV,1,2,win_away,3,2008_FC Energie Cottbus_Hamburger SV,2.0,4.0,2.0,-1.0
2008,Bochum,8,129,VfL Bochum,87,Borussia Mönchengladbach,2,2,draw,4,2008_VfL Bochum_Borussia Mönchengladbach,18.0,20.0,24.0,-24.0
2008,Bremen,8,134,Werder Bremen,7,Borussia Dortmund,3,3,draw,6,2008_Werder Bremen_Borussia Dortmund,38.0,14.0,28.0,26.0
2008,Bremen,8,134,Werder Bremen,7,Borussia Dortmund,3,3,draw,6,2008_Werder Bremen_Borussia Dortmund,37.0,14.0,27.0,27.0
2008,Wolfsburg,8,131,VfL Wolfsburg,83,Arminia Bielefeld,4,1,win_home,5,2008_VfL Wolfsburg_Arminia Bielefeld,8.0,6.0,6.0,2.0
2008,Frankfurt,8,91,Eintracht Frankfurt,6,Bayer Leverkusen,0,2,win_away,2,2008_Eintracht Frankfurt_Bayer Leverkusen,18.0,11.0,19.0,-1.0
2008,Berlin,8,54,Hertha BSC,16,VfB Stuttgart,2,1,win_home,3,2008_Hertha BSC_VfB Stuttgart,19.0,14.0,17.0,-3.0
2008,Karlsruhe,8,105,Karlsruher SC,40,FC Bayern München,0,1,win_away,1,2008_Karlsruher SC_FC Bayern München,6.0,9.0,27.0,-57.0
2008,Köln,8,65,1. FC Köln,93,FC Energie Cottbus,1,0,win_home,1,2008_1. FC Köln_FC Energie Cottbus,6.0,3.0,1.0,11.0
2008,Hamburg,8,100,Hamburger SV,9,FC Schalke 04,1,1,draw,2,2008_Hamburger SV_FC Schalke 04,31.0,18.0,31.0,16.0
2008,Hamburg,8,100,Hamburger SV,9,FC Schalke 04,1,1,draw,2,2008_Hamburger SV_FC Schalke 04,31.0,17.0,30.0,17.0
2008,Frankfurt,4,91,Eintracht Frankfurt,105,Karlsruher SC,2,1,win_home,3,2008_Eintracht Frankfurt_Karlsruher SC,23.0,11.0,14.0,11.0
2008,Leverkusen,9,6,Bayer Leverkusen,65,1. FC Köln,2,0,win_home,2,2008_Bayer Leverkusen_1. FC Köln,15.0,20.0,11.0,5.0
2008,München,9,40,FC Bayern München,131,VfL Wolfsburg,4,2,win_home,6,2008_FC Bayern München_VfL Wolfsburg,16.0,4.0,2.0,30.0
2008,Gelsenkirchen,9,9,FC Schalke 04,83,Arminia Bielefeld,0,0,draw,0,2008_FC Schalke 04_Arminia Bielefeld,16.0,6.0,6.0,28.0
2008,Hannover,9,55,Hannover 96,134,Werder Bremen,1,1,draw,2,2008_Hannover 96_Werder Bremen,8.0,11.0,23.0,-44.0
2008,Cottbus,9,93,FC Energie Cottbus,91,Eintracht Frankfurt,2,3,win_away,5,2008_FC Energie Cottbus_Eintracht Frankfurt,2.0,1.0,7.0,-7.0
2008,Gladbach,9,87,Borussia Mönchengladbach,105,Karlsruher SC,1,0,win_home,1,2008_Borussia Mönchengladbach_Karlsruher SC,14.0,16.0,12.0,8.0
2008,Stuttgart,9,16,VfB Stuttgart,129,VfL Bochum,2,0,win_home,2,2008_VfB Stuttgart_VfL Bochum,30.0,15.0,15.0,28.0
