matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season,home_team_id,away_team_id
15,SV Darmstadt 98,VfL Wolfsburg,2,1,3,1.0,2023,118.0,131.0
15,FC Augsburg,Borussia Dortmund,3,6,15,-30.0,2023,95.0,7.0
15,RB Leipzig,TSG 1899 Hoffenheim,8,3,3,4.0,2023,1635.0,175.0
16,Werder Bremen,RB Leipzig,2,1,9,-14.0,2023,134.0,1635.0
16,VfB Stuttgart,FC Augsburg,11,2,11,-8.0,2023,16.0,95.0
16,Borussia Dortmund,1. FSV Mainz 05,20,9,5,28.0,2023,7.0,81.0
16,Eintracht Frankfurt,Borussia Mönchengladbach,36,29,33,1.0,2023,91.0,87.0
16,Bayer Leverkusen,VfL Bochum,26,13,17,18.0,2023,6.0,129.0
16,VfL Wolfsburg,FC Bayern München,4,7,41,-88.0,2023,131.0,40.0
16,1. FC Union Berlin,1. FC Köln,8,3,5,-7.0,2023,80.0,65.0
16,TSG 1899 Hoffenheim,SV Darmstadt 98,1,2,1,0.0,2023,175.0,118.0
17,FC Bayern München,TSG 1899 Hoffenheim,19,7,4,42.0,2024,40.0,175.0
17,Borussia Mönchengladbach,VfB Stuttgart,30,30,42,-30.0,2024,87.0,16.0
17,VfL Bochum,Werder Bremen,10,15,43,-72.0,2024,129.0,134.0
17,SC Freiburg,1. FC Union Berlin,4,3,5,3.0,2024,112.0,80.0
17,1. FSV Mainz 05,VfL Wolfsburg,10,15,19,-20.0,2024,81.0,131.0
17,SV Darmstadt 98,Borussia Dortmund,2,2,4,-12.0,2024,118.0,7.0
17,FC Augsburg,Bayer Leverkusen,2,7,15,-31.0,2024,95.0,6.0
17,RB Leipzig,Eintracht Frankfurt,4,7,3,-1.0,2024,1635.0,91.0
18,FC Bayern München,Werder Bremen,60,26,26,102.0,2024,40.0,134.0
18,Borussia Mönchengladbach,FC Augsburg,10,8,8,9.0,2024,87.0,95.0
18,1. FC Köln,Borussia Dortmund,29,25,40,-28.0,2024,65.0,7.0
18,VfL Bochum,VfB Stuttgart,15,20,37,-39.0,2024,129.0,16.0
18,SC Freiburg,TSG 1899 Hoffenheim,10,11,7,4.0,2024,112.0,175.0
18,1. FSV Mainz 05,1. FC Union Berlin,5,3,6,-5.0,2024,81.0,80.0
18,SV Darmstadt 98,Eintracht Frankfurt,3,0,5,-5.0,2024,118.0,91.0
18,RB Leipzig,Bayer Leverkusen,7,4,3,4.0,2024,1635.0,6.0
19,Werder Bremen,SC Freiburg,23,10,11,34.0,2024,134.0,112.0
19,VfB Stuttgart,RB Leipzig,0,2,8,-15.0,2024,16.0,1635.0
19,Borussia Dortmund,VfL Bochum,25,22,17,17.0,2024,7.0,129.0
19,Eintracht Frankfurt,1. FSV Mainz 05,11,17,10,3.0,2024,91.0,81.0
19,Bayer Leverkusen,Borussia Mönchengladbach,33,27,22,37.0,2024,6.0,87.0
19,VfL Wolfsburg,1. FC Köln,16,10,8,23.0,2024,131.0,65.0
19,1. FC Union Berlin,SV Darmstadt 98,1,2,3,-6.0,2024,80.0,118.0
19,FC Augsburg,FC Bayern München,4,2,18,-37.0,2024,95.0,40.0
20,FC Bayern München,Borussia Mönchengladbach,51,31,28,70.0,2024,40.0,87.0
20,1. FC Köln,Eintracht Frankfurt,36,30,32,16.0,2024,65.0,91.0
20,VfL Bochum,FC Augsburg,4,0,2,0.0,2024,129.0,95.0
20,SC Freiburg,VfB Stuttgart,16,5,21,-11.0,2024,112.0,16.0
20,VfL Wolfsburg,TSG 1899 Hoffenheim,14,7,9,11.0,2024,131.0,175.0
20,1. FSV Mainz 05,Werder Bremen,11,7,14,-5.0,2024,81.0,134.0
20,SV Darmstadt 98,Bayer Leverkusen,1,0,5,-6.0,2024,118.0,6.0
20,RB Leipzig,1. FC Union Berlin,5,1,6,5.0,2024,1635.0,80.0
21,VfB Stuttgart,1. FSV Mainz 05,13,8,11,6.0,2024,16.0,81.0
21,Borussia Mönchengladbach,SV Darmstadt 98,4,3,1,8.0,2024,87.0,118.0
21,Borussia Dortmund,SC Freiburg,30,11,5,61.0,2024,7.0,112.0
21,Eintracht Frankfurt,VfL Bochum,26,16,26,9.0,2024,91.0,129.0
21,Bayer Leverkusen,FC Bayern München,19,17,52,-68.0,2024,6.0,40.0
21,1. FC Union Berlin,VfL Wolfsburg,2,3,3,-1.0,2024,80.0,131.0
21,FC Augsburg,RB Leipzig,1,5,8,-13.0,2024,95.0,1635.0
21,TSG 1899 Hoffenheim,1. FC Köln,12,7,7,22.0,2024,175.0,65.0
22,1. FC Köln,Werder Bremen,36,27,35,9.0,2024,65.0,134.0
22,VfL Bochum,FC Bayern München,9,15,48,-106.0,2024,129.0,40.0
22,SC Freiburg,Eintracht Frankfurt,14,10,18,-11.0,2024,112.0,91.0
22,VfL Wolfsburg,Borussia Dortmund,10,12,32,-58.0,2024,131.0,7.0
22,1. FSV Mainz 05,FC Augsburg,13,6,13,5.0,2024,81.0,95.0
22,SV Darmstadt 98,VfB Stuttgart,3,4,5,-9.0,2024,118.0,16.0
22,TSG 1899 Hoffenheim,1. FC Union Berlin,3,2,3,3.0,2024,175.0,80.0
22,RB Leipzig,Borussia Mönchengladbach,8,3,3,8.0,2024,1635.0,87.0
23,Werder Bremen,SV Darmstadt 98,3,4,3,-1.0,2024,134.0,118.0
23,FC Bayern München,RB Leipzig,7,5,2,9.0,2024,40.0,1635.0
23,VfB Stuttgart,1. FC Köln,32,26,36,7.0,2024,16.0,65.0
23,Borussia Mönchengladbach,VfL Bochum,27,22,21,26.0,2024,87.0,129.0
23,Borussia Dortmund,TSG 1899 Hoffenheim,13,10,7,3.0,2024,7.0,175.0
23,Eintracht Frankfurt,VfL Wolfsburg,8,14,22,-18.0,2024,91.0,131.0
23,Bayer Leverkusen,1. FSV Mainz 05,17,5,12,10.0,2024,6.0,81.0
23,FC Augsburg,SC Freiburg,5,10,19,-27.0,2024,95.0,112.0
24,1. FC Köln,Bayer Leverkusen,18,25,27,-18.0,2024,65.0,6.0
24,VfL Bochum,RB Leipzig,1,0,7,-13.0,2024,129.0,1635.0
24,SC Freiburg,FC Bayern München,4,9,33,-69.0,2024,112.0,40.0
24,VfL Wolfsburg,VfB Stuttgart,22,7,19,9.0,2024,131.0,16.0
24,1. FSV Mainz 05,Borussia Mönchengladbach,12,12,16,-10.0,2024,81.0,87.0
24,SV Darmstadt 98,FC Augsburg,8,3,5,6.0,2024,118.0,95.0
24,1. FC Union Berlin,Borussia Dortmund,3,0,5,-8.0,2024,80.0,7.0
24,TSG 1899 Hoffenheim,Werder Bremen,7,10,11,-1.0,2024,175.0,134.0
25,Werder Bremen,Borussia Dortmund,42,19,47,-2.0,2024,134.0,7.0
25,FC Bayern München,1. FSV Mainz 05,24,3,7,54.0,2024,40.0,81.0
25,VfB Stuttgart,1. FC Union Berlin,1,4,3,-3.0,2024,16.0,80.0
25,Borussia Mönchengladbach,1. FC Köln,53,20,27,62.0,2024,87.0,65.0
25,Eintracht Frankfurt,TSG 1899 Hoffenheim,10,8,10,1.0,2024,91.0,175.0
25,VfL Bochum,SC Freiburg,9,4,9,-2.0,2024,129.0,112.0
25,Bayer Leverkusen,VfL Wolfsburg,24,10,20,12.0,2024,6.0,131.0
25,RB Leipzig,SV Darmstadt 98,3,0,1,6.0,2024,1635.0,118.0
26,1. FC Köln,RB Leipzig,2,5,5,-8.0,2024,65.0,1635.0
26,Borussia Dortmund,Eintracht Frankfurt,49,20,31,61.0,2024,7.0,91.0
26,SC Freiburg,Bayer Leverkusen,12,14,20,-25.0,2024,112.0,6.0
26,VfL Wolfsburg,FC Augsburg,8,9,7,5.0,2024,131.0,95.0
26,1. FSV Mainz 05,VfL Bochum,11,2,5,7.0,2024,81.0,129.0
26,SV Darmstadt 98,FC Bayern München,0,1,7,-13.0,2024,118.0,40.0
26,1. FC Union Berlin,Werder Bremen,5,0,1,7.0,2024,80.0,134.0
26,TSG 1899 Hoffenheim,VfB Stuttgart,7,9,10,-6.0,2024,175.0,16.0
27,Werder Bremen,VfL Wolfsburg,20,10,20,0.0,2024,134.0,131.0
27,FC Bayern München,Borussia Dortmund,53,30,25,86.0,2024,40.0,7.0
27,Borussia Mönchengladbach,SC Freiburg,13,16,15,-10.0,2024,87.0,112.0
